類型代號,計價幣別,基金統編,基金名稱,基金規模(台幣),基金規模市場占有率,單位淨值(台幣),受益權單位數,自然人受益人數,法人受益人數,總受益人數,本年申購總金額(台幣),本年買回總金額(台幣),年分
AA1,TWD,15739619,建弘大中華基金,"874,031,810",0.06%,11.25,"77,678,914.20","1,956",51,"2,007","890,258,035","1,056,772,690",2008.0
AA2,TWD,17612378,建弘亞洲科技基金,"513,177,656",0.03%,9.38,"54,682,349.90","2,993",34,"3,027","195,626,046","684,797,614",2008.0
AA1,TWD,19341318,建弘電子基金,"473,082,824",0.03%,10.21,"46,323,468.60","2,614",40,"2,654","233,842,699","205,988,183",2008.0
AC11,TWD,20081472,建弘台灣債券基金,"29,016,014,303",1.85%,14.5528,"1,993,847,271.50",917,217,"1,134","131,447,691,457","132,821,393,850",2008.0
AA1,TWD,20092528,建弘店頭市場基金,"424,250,128",0.03%,4.17,"101,694,610.30","5,136",31,"5,167","164,033,266","138,238,503",2008.0
AA2,TWD,48712350,建弘旗艦基金,"497,399,359",0.03%,7.36,"67,551,574.00","1,432",24,"1,456","145,884,237","273,178,479",2008.0
AB2,TWD,48795540,建弘歐洲動力平衡基金,"366,903,553",0.02%,9.71,"37,803,221.00",678,26,704,"29,959,735","824,490,391",2008.0
AB1,TWD,48836922,建弘策略平衡基金,"262,385,122",0.02%,9.4177,"27,860,805.90",263,15,278,"78,613,119","685,942,900",2008.0
AG,TWD,48892846A,建弘全球不動產化基金A,"420,396,845",0.03%,4.3858,"95,854,990.90",817,40,857,"33,931,662","1,184,436,545",2008.0
AG,TWD,48892846B,建弘全球不動產化基金B,"85,994,222",0.01%,4.1968,"20,490,491.40",217,16,233,"11,410,786","215,080,048",2008.0
AA1,TWD,48929409,建弘台灣成長基金,"998,758,116",0.06%,4.18,"238,755,281.80",972,34,"1,006","204,995,772","983,984,038",2008.0
AD2,TWD,48981299,建弘全球貨幣市場基金,"319,176,330",0.02%,10.1027,"31,593,304.80",60,14,74,"4,184,220,398","3,850,172,186",2008.0
AA1,TWD,73989002,建弘小型精選基金,"776,955,134",0.05%,13.72,"56,647,628.60","4,101",41,"4,142","444,650,841","446,642,727",2008.0
AA2,TWD,81593453,建弘全球台商基金,"468,313,139",0.03%,8.2,"57,131,094.70","2,446",38,"2,484","112,267,372","291,472,747",2008.0
AA2,TWD,92010461,建弘馬來西亞基金,"497,443,118",0.03%,5.78,"86,081,016.10","4,791",26,"4,817","313,961,696","444,623,752",2008.0
AA1,TWD,97980043,建弘福王基金,"400,044,644",0.03%,9.3,"43,009,992.60","3,456",9,"3,465","135,178,827","189,375,193",2008.0
AB1,TWD,99353151,建弘中概平衡基金,"540,223,191",0.03%,12.4,"43,554,885.50","1,607",30,"1,637","261,617,554","373,175,472",2008.0
第一金投信,,,,"85,000,647,942",5.41%,,"3,714,783,391.50","52,011","1,077","53,088","283,119,406,209","281,884,696,890",2008.0
AB1,TWD,00971080,匯豐安富基金,"1,498,226,337",0.10%,14.86,"100,805,370.50","7,006",49,"7,055","192,222,893","499,295,791",2008.0
AA1,TWD,00989005,匯豐匯豐基金,"251,680,538",0.02%,87.9,"2,864,083.10",519,23,542,"102,430,410","146,773,910",2008.0
AA1,TWD,01031298,匯豐龍鳳基金,"3,396,389,991",0.22%,20.74,"163,729,932.60","3,528",65,"3,593","4,635,926,864","2,784,729,153",2008.0
AA1,TWD,01047806,匯豐台灣基金,"6,184,546,948",0.39%,229.42,"26,957,298.00",0,1,1,0,"552,159,697",2008.0
AA1,TWD,01050013,匯豐成長基金,"369,130,537",0.02%,13.25,"27,864,421.30","2,756",43,"2,799","159,927,777","139,569,202",2008.0
AB2,TWD,10341999,匯豐聚富積極平衡基金,"301,975,447",0.02%,10.19,"29,638,001.30",162,14,176,"572,051,058","382,647,974",2008.0
AB2,TWD,10342012,匯豐聚富穩健平衡基金,"890,474,833",0.06%,10.1,"88,124,906.60",373,24,397,"966,714,359","344,544,068",2008.0
AE21,TWD,15587747,匯豐歐洲精典組合基金,"420,946,342",0.03%,12.5799,"33,461,852.80","1,003",35,"1,038","76,528,701","1,216,566,923",2008.0
AA2,TWD,18031954,匯豐太平洋精典基金,"1,638,345,697",0.10%,10.76,"152,215,551.80","2,464",57,"2,521","368,472,633","2,174,862,675",2008.0
AA2,TWD,48686374,匯豐金磚動力基金,"5,865,566,491",0.37%,8.82,"664,974,665.10","7,937",60,"7,997","6,970,294,833","7,521,881,876",2008.0
AE22,TWD,48745129,匯豐五福全球債券組合基金,"3,757,121,172",0.24%,10.5409,"356,432,425.50",885,75,960,"4,047,063,864","10,330,286,665",2008.0
AE21,TWD,48746014,匯豐新日本動力組合基金,"601,370,511",0.04%,6.71,"89,588,788.20",697,33,730,"436,590,815","986,987,495",2008.0
AA2,TWD,48784327,匯豐新鑽動力基金,"3,736,860,187",0.24%,7.33,"509,992,587.40","6,114",73,"6,187","2,201,726,880","5,503,446,733",2008.0
AE21,TWD,48865209,匯豐全球趨勢組合基金,"3,403,886,312",0.22%,7.57,"449,813,630.10","3,480",65,"3,545","326,580,607","3,951,478,280",2008.0
AA2,TWD,48925001,匯豐全球關鍵資源基金,"4,054,257,427",0.26%,6.26,"647,722,342.00","7,739",84,"7,823","7,331,720,559","10,472,989,484",2008.0
AA2,TWD,48998019,匯豐全球新富基金,"1,173,585,312",0.07%,6.53,"179,606,845.70","1,433",35,"1,468","3,351,196,230","1,260,533,049",2008.0
AA1,TWD,73987671,匯豐台灣精典基金,"686,023,603",0.04%,9.88,"69,401,758.80","2,006",41,"2,047","555,559,882","393,860,379",2008.0
AA1,TWD,76941376,匯豐成功基金,"503,171,280",0.03%,14.22,"35,393,013.00","2,823",24,"2,847","298,349,010","220,980,034",2008.0
AA1,TWD,92017794,匯豐龍騰電子基金,"1,605,270,179",0.10%,14.84,"108,192,151.10","9,065",60,"9,125","794,010,180","549,630,247",2008.0
AC11,TWD,92025871,匯豐富泰債券基金,"9,264,063,036",0.59%,15.321,"604,663,116.80",742,105,847,"42,459,717,663","42,334,237,484",2008.0
AC11,TWD,97993027,匯豐富泰二號債券基金,"13,487,689,210",0.86%,14.4994,"930,226,905.80","1,706",162,"1,868","53,656,629,358","50,829,201,793",2008.0
AA1,TWD,97995664,匯豐中小基金,"605,502,757",0.04%,4.29,"141,141,561.60","3,216",53,"3,269","323,732,159","231,426,844",2008.0
AE23,TWD,99364571,匯豐環宇精選平衡組合基金,"625,206,732",0.04%,10.5293,"59,377,651.20",358,33,391,"51,011,574","1,354,497,873",2008.0
AB1,TWD,99989750,匯豐三高平衡基金,"627,594,854",0.04%,10.3511,"60,630,775.30",257,30,287,"253,752,311","992,513,930",2008.0
匯豐中華投信,,,,"64,948,885,733",4.13%,,"5,532,819,635.60","66,269","1,244","67,513","130,132,210,620","145,175,101,559",2008.0
AA1,TWD,01032058,元大多福基金,"5,412,349,582",0.34%,24.67,"219,395,817.10","16,816",78,"16,894","2,705,293,905","2,896,412,077",2008.0
AB1,TWD,10300287,元大智慧模組傘型基金之元大組合交易平衡基金,"449,360,269",0.03%,9.96,"45,134,976.50",677,19,696,"1,090,493,297","638,291,400",2008.0
AB1,TWD,10300293,元大智慧模組傘型基金之元大市場中立平衡基金,"307,670,818",0.02%,9.97,"30,859,617.00",394,24,418,"1,180,213,629","876,351,623",2008.0
AB1,TWD,10300300,元大智慧模組傘型基金之元大強勢配置平衡基金,"662,160,081",0.04%,10.23,"64,709,913.30","2,169",28,"2,197","1,466,083,596","809,127,143",2008.0
AA2,TWD,10348043,元大全球資源傘型基金之元大全球新能源基金,"487,002,972",0.03%,10.4,"46,842,015.00",573,30,603,"759,964,678","293,929,811",2008.0
AA2,TWD,10348058,元大全球資源傘型基金之元大全球農業商機基金,"494,080,792",0.03%,10.21,"48,394,379.50",615,21,636,"825,475,555","343,877,666",2008.0
AA2,TWD,10348064,元大全球資源傘型基金之元大全球礦金基金,"339,146,586",0.02%,9.95,"34,098,229.00",401,19,420,"690,341,176","348,002,464",2008.0
AA2,TWD,14696466,元大全球成長基金,"274,793,617",0.02%,12.6,"21,810,869.00","2,794",35,"2,829","164,031,635","145,073,906",2008.0
AA1,TWD,17139204,元大新主流基金,"6,178,551,410",0.39%,11.76,"525,542,113.50","19,141",91,"19,232","3,105,074,291","4,027,387,814",2008.0
AA2,TWD,17612481,元大全球通訊基金,"430,526,157",0.03%,3.86,"111,659,344.20","6,292",45,"6,337","82,308,647","114,512,590",2008.0
AA1,TWD,18036281,元大巴菲特基金,"1,222,626,089",0.08%,12.27,"99,636,549.10","4,355",53,"4,408","2,347,830,400","2,105,506,690",2008.0
AA1,TWD,20080023,元大店頭基金,"2,390,332,960",0.15%,4.61,"518,549,971.80","12,389",57,"12,446","1,239,091,534","1,603,215,762",2008.0
AC11,TWD,20081331,元大萬泰基金,"57,573,846,656",3.66%,14.4288,"3,990,211,400.20","3,865",342,"4,207","142,800,481,798","127,226,049,397",2008.0
AE23,TWD,21752548,元大全球組合基金,"608,349,782",0.04%,10.9065,"55,778,698.10","3,103",27,"3,130","163,818,497","683,663,085",2008.0
AA2,TWD,48708243,元大亞太成長基金,"3,122,428,601",0.20%,8.33,"374,686,230.10","12,103",67,"12,170","1,523,519,056","2,710,071,014",2008.0
AA2,TWD,48753324,元大泛歐成長基金,"1,074,530,407",0.07%,8.72,"123,246,471.80","9,891",44,"9,935","562,163,863","958,750,483",2008.0
AC22,TWD,48849362A,元大全球滿意入息基金-不配息型,"1,030,908,317",0.07%,10.07,"102,402,956.60","2,401",43,"2,444","73,003,447","1,502,253,950",2008.0
AC22,TWD,48849362B,元大全球滿意入息基金-配息型,"757,972,347",0.05%,9.32,"81,325,992.20","1,358",18,"1,376","59,540,710","484,182,209",2008.0
AG,TWD,48885346A,元大全球地產建設入息基金-不配息型,"2,697,705,800",0.17%,6.56,"411,211,693.20","9,208",73,"9,281","78,372,567","2,704,359,302",2008.0
AG,TWD,48885346B,元大全球地產建設入息基金-配息型,"1,001,372,503",0.06%,6.28,"159,520,720.40","2,030",20,"2,050","20,090,762","844,465,010",2008.0
AA2,TWD,48952816A,元大全球公用能源效率基金-不配息型,"4,010,268,794",0.26%,8.08,"496,119,186.00","8,959",65,"9,024","134,593,951","3,562,769,528",2008.0
AA2,TWD,48952816B,元大全球公用能源效率基金-配息型,"550,868,088",0.04%,7.81,"70,531,184.70",898,15,913,"54,587,486","277,261,159",2008.0
AA1,TWD,77537509,元大多元基金,"624,463,464",0.04%,7.89,"79,096,727.80","4,137",33,"4,170","491,809,346","491,204,657",2008.0
AA1,TWD,81584335,元大高科技基金,"3,682,199,495",0.23%,9.26,"397,744,673.80","22,787",61,"22,848","2,346,665,282","1,809,904,949",2008.0
AA1,TWD,83863951,元大經貿基金,"2,552,148,361",0.16%,15.99,"159,610,698.00","10,345",73,"10,418","2,576,753,094","1,937,284,813",2008.0
AA1,TWD,92001765,元大多多基金,"1,700,829,042",0.11%,12.18,"139,608,899.40","7,033",52,"7,085","827,171,573","882,600,761",2008.0
AA1,TWD,92026219,元大卓越基金,"3,390,995,936",0.22%,23.22,"146,007,087.40","21,834",59,"21,893","1,903,072,370","1,658,272,500",2008.0
AB1,TWD,98636553,元大雙盈基金,"457,141,528",0.03%,16.11,"28,375,698.30","2,149",45,"2,194","198,804,267","326,769,290",2008.0
元大投信,,,,"103,484,630,454",6.59%,,"8,582,112,113.00","188,717","1,537","190,254","169,470,650,412","162,261,551,053",2008.0
AA2,TWD,14687516,景順全球康健基金,"320,882,829",0.02%,9.7,"33,085,371.58",450,27,477,"149,435,494","185,181,147",2008.0
AA1,TWD,15588302,景順台灣精選成長基金,"348,602,415",0.02%,10.97,"31,775,072.48","3,054",29,"3,083","75,732,591","187,744,330",2008.0
AA1,TWD,17140568,景順主流基金,"403,742,649",0.03%,7.13,"56,648,305.93","1,383",26,"1,409","371,335,396","254,327,435",2008.0
AB1,TWD,17606713,景順平衡基金,"357,597,143",0.02%,6.07,"58,922,281.06","2,619",22,"2,641","22,349,787","42,675,895",2008.0
AA2,TWD,17612362,景順寰宇先進科技基金,"250,653,359",0.02%,2.4,"104,501,431.17","6,135",20,"6,155","5,727,084","39,045,112",2008.0
AA1,TWD,73989256,景順台灣科技基金,"728,046,125",0.05%,10.86,"67,065,816.23","2,270",34,"2,304","619,022,885","555,208,312",2008.0
AA1,TWD,92019786,景順潛力基金,"2,327,543,737",0.15%,13.56,"171,586,494.94","3,335",46,"3,381","4,798,490,174","2,423,955,224",2008.0
AC11,TWD,92025942,景順債券基金,"5,738,150,218",0.37%,15.3049,"374,922,359.72",861,75,936,"9,445,780,127","13,110,517,298",2008.0
AA2,TWD,97993482,景順全球科技基金,"1,219,545,831",0.08%,6.57,"185,709,464.13","11,194",30,"11,224","213,268,961","240,658,300",2008.0
景順投信,,,,"11,694,764,306",0.74%,,"1,084,216,597.24","31,301",309,"31,610","15,701,142,499","17,039,313,053",2008.0
AA2,TWD,10310200,保誠全球綠色金脈基金,"1,315,784,183",0.08%,8.34,"157,790,406.00","2,058",44,"2,102","277,825,666","3,478,180,317",2008.0
AA2,TWD,10357632,保誠非洲基金,"552,691,991",0.04%,10.6,"52,117,842.30",555,30,585,"70,823,924","511,504,412",2008.0
AA2,TWD,14692623,保誠美國高科技基金,"324,705,695",0.02%,8.86,"36,630,029.90",371,27,398,"226,920,580","255,793,689",2008.0
AA1,TWD,17603899,保誠電通網基金,"849,359,552",0.05%,6.18,"137,518,683.90","7,089",49,"7,138","363,343,162","354,433,569",2008.0
AA2,TWD,17611814,保誠歐洲基金,"1,447,615,117",0.09%,6.5,"222,866,610.40","2,354",46,"2,400","733,871,843","1,740,094,792",2008.0
AB1,TWD,18036769,保誠理財通基金,"4,261,321,270",0.27%,13.97,"305,114,476.70",570,46,616,"3,313,955,990","3,413,199,677",2008.0
AA2,TWD,21704130,保誠印度基金,"7,259,960,131",0.46%,10.64,"682,519,007.50","11,577",67,"11,644","11,904,408,036","10,381,774,595",2008.0
AA2,TWD,48733897,保誠亞太高股息基金,"1,467,068,018",0.09%,7.79,"188,397,134.30","6,278",65,"6,343","409,181,647","1,418,781,546",2008.0
AE22,TWD,48801000,保誠精選傘型基金之債券精選組合,"1,563,979,338",0.10%,9.9559,"157,090,373.60",255,45,300,"1,819,500,596","3,381,500,846",2008.0
AE21,TWD,48801016,保誠精選傘型基金之趨勢精選組合,"421,767,962",0.03%,8.01,"52,667,200.90",605,36,641,"370,062,243","714,911,809",2008.0
AG,TWD,48836541A,保誠亞太不動產化基金A類型,"2,073,904,847",0.13%,5.02,"412,754,533.30","1,470",47,"1,517","1,746,291,915","1,804,046,950",2008.0
AG,TWD,48836541B,保誠亞太不動產化基金B類型,"552,270,354",0.04%,4.93,"112,120,142.10",631,28,659,"53,322,548","890,058,840",2008.0
AA2,TWD,48885958,保誠亞太基礎建設基金,"4,968,068,670",0.32%,7.59,"654,959,662.00","5,583",76,"5,659","1,644,251,930","5,477,539,000",2008.0
AA1,TWD,81595924,保誠中小型股基金,"1,281,124,099",0.08%,8.57,"149,435,089.40","7,304",50,"7,354","1,169,913,521","1,064,576,090",2008.0
AC11,TWD,83867345,保誠威寶基金,"67,935,667,621",4.32%,12.9409,"5,249,697,848.20","1,788",339,"2,127","237,557,348,901","212,237,405,537",2008.0
AA1,TWD,92003102,保誠高科技基金,"1,561,661,458",0.10%,24.24,"64,418,112.70","7,320",56,"7,376","1,024,302,032","640,638,526",2008.0
AA1,TWD,92012572,保誠外銷基金,"3,870,684,911",0.25%,17.7,"218,693,494.30","2,519",53,"2,572","7,295,313,796","5,862,996,196",2008.0
AA1,TWD,97978102,保誠掌櫃基金,"358,900,022",0.02%,7.39,"48,589,387.80","2,638",40,"2,678","140,759,617","169,135,043",2008.0
AA1,TWD,97990696,保誠菁華基金,"1,340,356,210",0.09%,11.36,"117,991,417.70","3,494",38,"3,532","1,726,058,535","2,076,713,086",2008.0
AB1,TWD,99033502,保誠理財通二號基金,"403,061,692",0.03%,10.52,"38,304,143.50",210,24,234,"190,931,257","506,552,730",2008.0
AB1,TWD,99360224,保誠理財通三號基金,"334,445,082",0.02%,7.8668,"42,513,371.10",82,17,99,"272,538,370","523,360,170",2008.0
AE23,TWD,99967806,保誠質量精選組合基金,"3,721,723,630",0.24%,9.9675,"373,384,236.60",593,45,638,"2,127,889,105","3,868,671,368",2008.0
保誠投信,,,,"107,866,121,853",6.86%,,"9,475,573,204.20","65,344","1,268","66,612","274,438,815,214","260,771,868,788",2008.0
AA1,TWD,01032183,保德信高成長基金,"4,690,921,965",0.30%,37.16,"126,222,356.70","20,017",78,"20,095","4,003,308,027","2,360,544,845",2008.0
AA2,TWD,10307155,保德信全球消費商機基金,"1,067,454,972",0.07%,6.92,"154,331,816.30","2,904",51,"2,955","2,887,126,438","1,127,105,563",2008.0
AA1,TWD,13528977,保德信台商全方位基金,"1,822,593,665",0.12%,14.37,"126,856,285.30","6,143",61,"6,204","1,183,735,107","1,259,768,953",2008.0
AA2,TWD,14692638,保德信全球醫療生化基金,"3,033,784,185",0.19%,14.57,"208,250,319.00","8,048",56,"8,104","1,163,576,037","1,007,123,216",2008.0
AA1,TWD,17602625,保德信新世紀基金,"882,045,467",0.06%,4.34,"203,351,578.20","14,727",47,"14,774","77,004,886","97,440,908",2008.0
AA2,TWD,17611791,保德信日韓基金,"337,045,914",0.02%,6.94,"48,577,927.30","3,485",43,"3,528","84,673,715","177,856,933",2008.0
AB1,TWD,18044064,保德信金平衡基金,"706,280,169",0.04%,15.42,"45,801,075.60","1,646",61,"1,707","812,674,389","927,490,660",2008.0
AC12,TWD,20089122,保德信瑞騰基金,"2,463,418,678",0.16%,14.6332,"168,344,138.75",416,35,451,"2,754,135,486","2,508,247,664",2008.0
AA1,TWD,20097447,保德信第一基金,"1,167,822,486",0.07%,10.92,"106,984,134.40","4,599",56,"4,655","1,043,890,707","823,352,326",2008.0
AE22,TWD,48688083,保德信全球債券組合基金,"936,099,251",0.06%,10.6177,"88,164,220.70",703,34,737,"482,710,723","1,988,140,665",2008.0
AA2,TWD,48745042,保德信日本基金,"546,551,342",0.03%,6.46,"84,594,279.90","2,801",31,"2,832","93,292,315","427,012,229",2008.0
AE23,TWD,48803942,保德信新興趨勢組合基金,"1,606,443,353",0.10%,6.96,"230,917,750.70","10,454",60,"10,514","1,144,337,290","2,201,643,292",2008.0
AE23,TWD,48844280,保德信歐洲組合基金,"899,637,367",0.06%,6.25,"143,830,538.00","5,477",40,"5,517","171,922,230","1,255,803,426",2008.0
AA2,TWD,48938250,保德信全球資源基金,"2,118,446,959",0.13%,5.98,"354,210,144.20","15,830",44,"15,874","2,489,901,761","8,342,085,153",2008.0
AA2,TWD,48970455,保德信全球基礎建設基金,"1,215,367,444",0.08%,6.0,"202,662,012.70","4,808",54,"4,862","5,470,089,523","3,364,994,445",2008.0
AA1,TWD,73990649,保德信科技島基金,"1,753,271,996",0.11%,10.52,"166,673,274.50","14,256",59,"14,315","774,594,914","860,961,090",2008.0
AA2,TWD,73998065,保德信大中華基金,"2,461,720,776",0.16%,15.32,"160,737,420.70","8,950",68,"9,018","1,526,551,034","2,267,230,505",2008.0
AA1,TWD,83866508,保德信中小型股基金,"2,161,480,595",0.14%,17.68,"122,254,643.00","6,825",69,"6,894","1,801,325,603","1,611,348,239",2008.0
AA1,TWD,92013967,保德信金滿意基金,"2,892,440,413",0.18%,17.48,"165,498,173.20","15,212",36,"15,248","976,692,311","644,115,369",2008.0
AA2,TWD,92029139,保德信亞太基金,"1,107,582,676",0.07%,12.69,"87,262,344.50","4,665",34,"4,699","468,049,997","869,413,649",2008.0
AC11,TWD,97978047,保德信債券基金,"42,443,999,275",2.70%,15.0857,"2,813,534,327.90","2,002",303,"2,305","112,972,497,636","94,764,569,852",2008.0
AA1,TWD,97988636,保德信店頭市場基金,"2,418,518,139",0.15%,14.65,"165,109,382.00","8,017",68,"8,085","2,580,098,788","2,206,175,611",2008.0
AA2,TWD,98755451,保德信全球中小基金,"534,697,029",0.03%,12.58,"42,500,282.20","3,197",43,"3,240","191,952,088","636,380,895",2008.0
AE21,TWD,99611329,保德信全球組合基金,"412,535,103",0.03%,9.22,"44,726,615.50","1,526",40,"1,566","114,748,965","526,436,933",2008.0
AE23,TWD,99975496,保德信全球平衡組合基金,"375,523,824",0.02%,9.92,"37,846,567.80",771,29,800,"121,360,467","550,378,886",2008.0
保德信投信,,,,"80,055,683,043",5.09%,,"6,099,241,609.05","167,479","1,500","168,979","145,390,250,437","132,805,621,307",2008.0
AA1,TWD,01031699,統一全天候基金,"728,432,161",0.05%,22.13,"32,916,648.43","4,886",36,"4,922","235,780,881","189,357,484",2008.0
AA1,TWD,17605622,統一大滿貫基金,"4,156,656,176",0.26%,8.15,"509,896,588.56","12,348",87,"12,435","4,788,960,988","3,319,431,386",2008.0
AA2,TWD,18030553,統一亞太基金,"286,442,414",0.02%,10.11,"28,335,640.90","2,469",33,"2,502","146,882,633","255,513,876",2008.0
AE22,TWD,48783925,統一全球債券組合基金,"626,367,226",0.04%,9.0812,"68,973,999.85",422,26,448,"46,754,052","738,773,459",2008.0
AA2,TWD,48863201,統一強漢基金,"1,808,469,855",0.12%,6.99,"258,784,007.99","8,207",44,"8,251","791,143,182","1,500,237,834",2008.0
AA1,TWD,48934304,統一台灣動力基金,"1,483,356,262",0.09%,4.48,"330,979,279.13","5,262",54,"5,316","326,513,252","1,141,171,621",2008.0
AA1,TWD,73990253,統一奔騰基金,"1,526,401,469",0.10%,15.72,"97,122,789.71","5,036",59,"5,095","1,643,122,302","1,462,714,431",2008.0
AA1,TWD,77537493,統一統信基金,"696,901,502",0.04%,11.73,"59,394,154.53","5,258",38,"5,296","374,639,839","294,807,741",2008.0
AA1,TWD,81581724,統一經建基金,"571,925,128",0.04%,11.24,"50,893,353.26","3,063",45,"3,108","470,459,636","304,017,536",2008.0
AA1,TWD,92002244,統一黑馬基金,"808,654,747",0.05%,14.13,"57,225,116.30","3,416",45,"3,461","664,747,321","688,455,173",2008.0
AA1,TWD,92012762,統一龍馬基金,"587,239,846",0.04%,18.36,"31,990,551.94","3,324",43,"3,367","370,764,261","469,666,791",2008.0
AC11,TWD,92017176,統一強棒基金,"37,922,486,229",2.41%,15.9354,"2,379,756,303.80","1,107",299,"1,406","168,891,549,236","155,323,157,755",2008.0
AA1,TWD,97977878,統一中小基金,"426,557,435",0.03%,6.72,"63,445,581.25","2,791",36,"2,827","1,225,257,643","687,583,431",2008.0
統一投信,,,,"51,629,890,450",3.29%,,"3,969,714,015.65","57,589",845,"58,434","179,976,575,226","166,374,888,518",2008.0
AA1,TWD,00974018,富邦富邦基金,"2,651,245,661",0.17%,5.3,"500,000,000.00","5,420",51,"5,471",0,0,2008.0
AB1,TWD,13999857,富邦福寶基金,"210,835,144",0.01%,7.52,"28,024,030.90",699,22,721,"39,997,195","42,943,756",2008.0
AA1,TWD,17148301,富邦台灣心基金,"340,491,921",0.02%,6.08,"55,989,289.70","1,969",25,"1,994","61,015,801","79,125,887",2008.0
AA1,TWD,17153795,富邦價值基金,"401,418,181",0.03%,7.77,"51,655,909.70","2,059",36,"2,095","265,747,719","197,999,891",2008.0
AA1,TWD,17608445,富邦網路基金,"319,425,965",0.02%,5.13,"62,214,552.80","4,267",27,"4,294","32,946,658","38,725,152",2008.0
AA1,TWD,20089755,富邦精銳中小基金,"665,985,379",0.04%,4.06,"164,070,603.90","3,105",27,"3,132","47,650,868","118,006,614",2008.0
AH,TWD,48790067,富邦台灣科技指數基金,"585,870,373",0.04%,20.92,"28,000,000.00","1,252",36,"1,288","135,300,179","305,172,334",2008.0
AA2,TWD,48908684,富邦大中華成長基金,"902,959,649",0.06%,4.0,"225,726,074.80","4,923",45,"4,968","559,351,646","590,527,806",2008.0
AH,TWD,48975156,富邦台灣ETF傘型基金之富邦台灣摩根指數股票型基金,"473,785,292",0.03%,17.53,"27,027,000.00",461,24,485,"1,852,321,621","1,063,789,176",2008.0
AH,TWD,48975162,富邦台灣ETF傘型基金之富邦台灣金融指數股票型基金,"291,554,092",0.02%,17.7,"16,473,000.00",327,18,345,"1,383,052,846","921,014,130",2008.0
AH,TWD,48977083,富邦台灣ETF傘型基金之富邦台灣發達指數股票型基金,"230,985,408",0.01%,18.19,"12,696,000.00",324,17,341,"737,925,537","408,474,160",2008.0
AA1,TWD,81585475,富邦高成長基金,"637,260,254",0.04%,7.0,"91,050,030.40","4,428",37,"4,465","167,579,530","255,397,750",2008.0
AA1,TWD,83864683,富邦科技基金,"420,113,286",0.03%,12.69,"33,113,598.80","2,950",20,"2,970","131,348,606","96,110,685",2008.0
